creator_id,performance_month,uploads,views,watch_hours,new_subscribers
CR0007,2025-03,7,43118,5472.9,282
CR0007,2025-04,10,81746,8338.6,1113
CR0007,2025-05,0,0,0.0,0
CR0007,2025-06,8,46655,5261.8,508
CR0007,2025-07,10,89898,5391.4,1325
CR0007,2025-08,4,41463,5431.1,464
CR0007,2025-09,7,57870,3884.9,639
CR0007,2025-10,5,81769,9074.9,874
CR0007,2025-11,0,0,0.0,0
CR0007,2025-12,5,82010,9713.9,592
CR0008,2025-01,3,40935,2568.8,387
CR0008,2025-02,3,97160,12311.3,459
CR0008,2025-03,11,46947,4549.9,475
CR0008,2025-04,0,0,0.0,0
CR0008,2025-05,4,68171,4521.7,671
CR0008,2025-06,4,67275,6642.3,954
CR0008,2025-07,3,78558,11249.0,458
CR0008,2025-08,11,53112,5064.6,321
CR0008,2025-09,0,0,0.0,0
CR0008,2025-10,0,0,0.0,0
CR0008,2025-11,11,93595,6431.7,669
CR0008,2025-12,9,76017,9831.9,474
CR0009,2025-01,11,260602,25586.3,3674
CR0009,2025-02,10,234519,25307.1,2003
CR0009,2025-03,5,317634,35048.5,2900
CR0009,2025-04,12,185191,22372.1,1285
CR0009,2025-05,7,325177,44551.5,4409
CR0009,2025-06,6,346365,38567.2,5089
CR0009,2025-07,11,277697,18273.7,2095
CR0009,2025-08,7,194176,14262.4,1900
CR0009,2025-09,8,171073,11696.9,1767
CR0009,2025-10,12,207297,15586.1,2524
CR0009,2025-11,11,217674,26458.9,986
CR0009,2025-12,7,246649,23631.2,1386
CR0010,2025-01,7,16082,1556.6,190
CR0010,2025-02,6,17844,2353.7,253
CR0010,2025-03,2,16802,1221.0,98
CR0010,2025-04,3,11257,1455.7,154
CR0010,2025-05,2,11686,1560.1,173
CR0010,2025-06,3,19106,2692.8,102
CR0010,2025-07,3,14523,1712.1,186
CR0010,2025-08,7,14237,1335.4,121
CR0010,2025-09,4,16646,1452.7,219
CR0010,2025-10,1,22280,1564.3,319
CR0010,2025-11,0,0,0.0,0
CR0010,2025-12,2,14264,1514.3,114
CR0011,2025-01,4,329986,34221.1,1456
CR0011,2025-02,11,276479,21861.6,1375
CR0011,2025-03,0,0,0.0,0
CR0011,2025-04,11,611974,64664.7,5630
CR0011,2025-05,8,428587,54866.7,4565
CR0011,2025-06,7,241278,32376.4,2440
CR0011,2025-07,7,477748,60724.7,6199
CR0011,2025-08,8,309607,44246.4,4469
CR0011,2025-09,13,365944,32869.9,1758
CR0011,2025-10,8,624039,86097.4,6265
CR0011,2025-11,8,339869,28513.6,2664
CR0011,2025-12,7,277249,32968.6,2401
CR0012,2025-01,1,15882,1348.0,198
CR0012,2025-02,7,16556,2073.1,133
CR0012,2025-03,1,13452,1078.3,105
CR0012,2025-04,3,18794,1954.8,152
CR0012,2025-05,2,19918,2733.6,90
CR0012,2025-06,4,15015,2172.2,96
CR0012,2025-07,0,0,0.0,0
CR0012,2025-08,8,23789,2609.4,117
CR0012,2025-09,4,16570,1130.8,216
CR0012,2025-10,4,28928,2072.9,329
CR0012,2025-11,0,0,0.0,0
CR0012,2025-12,3,19992,2896.9,264
CR0013,2025-01,4,31918,4152.8,402
CR0013,2025-02,4,27067,2662.9,327
CR0013,2025-03,4,30937,2908.4,422
CR0013,2025-04,0,0,0.0,0
CR0013,2025-05,0,0,0.0,0
CR0013,2025-06,4,28504,2251.0,191
CR0013,2025-07,0,0,0.0,0
CR0013,2025-08,2,34286,2397.7,290
CR0013,2025-09,0,0,0.0,0
CR0013,2025-10,0,0,0.0,0
CR0013,2025-11,4,21069,2308.8,246
CR0013,2025-12,5,35993,2731.3,266
CR0014,2025-01,6,72025,9753.7,444
CR0014,2025-02,6,71957,6622.3,1022
CR0014,2025-03,5,55881,7458.2,675
CR0014,2025-04,5,86683,8546.5,986
CR0014,2025-05,7,75838,9865.4,647
CR0014,2025-06,7,47197,4564.3,362
CR0014,2025-07,5,52532,5805.2,472
CR0014,2025-08,3,77104,8285.9,795
CR0014,2025-09,10,73994,10617.3,323
CR0014,2025-10,7,60089,4698.8,497
CR0014,2025-11,8,56104,4265.9,817
CR0014,2025-12,3,52336,6194.7,388
CR0015,2025-01,0,0,0.0,0
CR0015,2025-02,4,14050,1280.9,204
CR0015,2025-03,5,12204,1036.7,132
CR0015,2025-04,3,18776,1260.2,166
CR0015,2025-05,2,18614,2085.3,198
CR0015,2025-06,0,0,0.0,0
CR0015,2025-07,3,9403,1107.5,62
CR0015,2025-08,6,16775,1786.6,125
CR0015,2025-09,0,0,0.0,0
CR0015,2025-10,3,16223,1316.6,85
CR0015,2025-11,0,0,0.0,0
CR0015,2025-12,2,25706,2239.6,222
CR0016,2025-01,3,13942,1964.8,180
CR0016,2025-02,0,0,0.0,0
CR0016,2025-03,4,15036,1722.0,105
CR0016,2025-04,3,11499,1079.7,120
CR0016,2025-05,0,0,0.0,0
CR0016,2025-06,6,15686,1355.2,65
CR0016,2025-07,2,14855,2070.0,72
CR0016,2025-08,0,0,0.0,0
CR0016,2025-09,5,13915,1585.0,111
CR0016,2025-10,3,13147,1285.0,144
CR0016,2025-11,2,13015,1626.4,187
CR0016,2025-12,2,16053,1386.7,178
CR0017,2025-01,6,70553,8282.6,1000
CR0017,2025-02,4,111712,10665.7,1421
CR0017,2025-03,2,96751,6398.6,1064
CR0017,2025-04,7,119323,11136.8,1023
CR0017,2025-05,5,159795,11784.7,698
CR0017,2025-06,4,83721,6783.0,1098
CR0017,2025-07,8,135842,20265.5,1591
CR0017,2025-08,8,211226,14915.4,2209
CR0017,2025-09,5,130725,13932.8,1914
CR0017,2025-10,8,150398,14304.5,1815
CR0017,2025-11,8,84913,5942.2,1068
CR0017,2025-12,6,147888,14641.4,1050
CR0018,2025-01,6,60323,8983.9,496
CR0018,2025-02,5,70509,8686.2,706
CR0018,2025-03,4,65330,6773.2,681
CR0018,2025-04,11,51702,4512.5,534
CR0018,2025-05,4,87876,9120.4,780
CR0018,2025-06,5,68174,5880.3,629
CR0018,2025-07,11,97413,10599.1,1209
CR0018,2025-08,7,79164,5296.6,859
CR0018,2025-09,8,93021,10593.1,519
CR0018,2025-10,8,62918,7421.1,359
CR0018,2025-11,8,122384,17537.6,781
CR0018,2025-12,4,66112,5707.2,433
CR0019,2025-01,3,23587,2007.5,315
CR0019,2025-02,5,24303,3471.0,331
CR0019,2025-03,3,12214,1488.2,107
CR0019,2025-04,3,23696,2445.4,120
CR0019,2025-05,2,19593,2119.3,118
CR0019,2025-06,3,21234,3018.2,201
CR0019,2025-07,0,0,0.0,0
CR0019,2025-08,5,18610,1716.6,133
CR0019,2025-09,0,0,0.0,0
CR0019,2025-10,5,28881,2023.1,410
CR0019,2025-11,6,20178,2500.6,251
CR0019,2025-12,4,18438,1636.0,158
CR0020,2025-01,6,77104,5003.9,1106
CR0020,2025-02,2,87005,7931.0,714
CR0020,2025-03,3,83991,9727.1,894
CR0020,2025-04,6,199367,23090.2,2341
CR0020,2025-05,0,0,0.0,0
CR0020,2025-06,4,112606,7470.6,844
CR0020,2025-07,8,75068,8464.9,653
CR0020,2025-08,7,93900,5868.9,1129
CR0020,2025-09,6,210466,20337.9,1864
CR0020,2025-10,7,86120,12773.9,733
CR0020,2025-11,6,166587,24782.1,2404
CR0020,2025-12,5,145049,8786.3,671
CR0021,2025-01,7,31711,2593.9,227
CR0021,2025-02,5,20044,1461.6,199
CR0021,2025-03,5,35164,4360.9,320
CR0021,2025-04,0,0,0.0,0
CR0021,2025-05,0,0,0.0,0
CR0021,2025-06,0,0,0.0,0
CR0021,2025-07,3,34751,2053.8,412
CR0021,2025-08,0,0,0.0,0
CR0021,2025-09,5,18504,1989.7,245
CR0021,2025-10,0,0,0.0,0
CR0021,2025-11,4,37203,5146.0,224
CR0021,2025-12,1,40682,4518.9,503
CR0022,2025-01,4,13133,1532.7,174
CR0022,2025-02,2,9033,1181.7,64
CR0022,2025-03,5,12571,1548.6,50
CR0022,2025-04,3,8543,855.2,67
CR0022,2025-05,1,8374,910.3,61
CR0022,2025-06,4,10829,802.7,99
CR0022,2025-07,4,14918,1743.0,126
CR0022,2025-08,5,8984,831.4,67
CR0022,2025-09,4,14358,1383.9,214
CR0022,2025-10,1,8265,620.4,78
CR0022,2025-11,0,0,0.0,0
CR0022,2025-12,8,14876,1518.1,138
CR0023,2025-01,10,229723,32779.4,1458
CR0023,2025-02,8,300994,23933.8,1453
CR0023,2025-03,13,396005,29933.5,2398
CR0023,2025-04,5,210747,27525.4,2570
CR0023,2025-05,8,373009,41150.5,2469
CR0023,2025-06,12,222397,16967.8,1921
CR0023,2025-07,9,343966,44441.5,2531
CR0023,2025-08,12,435793,27378.2,2161
CR0023,2025-09,8,295568,28986.4,2794
CR0023,2025-10,11,234029,32611.8,1855
CR0023,2025-11,4,315324,32746.1,3357
CR0023,2025-12,12,171619,15817.7,1609
CR0024,2025-01,1,17845,1764.8,134
CR0024,2025-02,0,0,0.0,0
CR0024,2025-03,3,15975,2125.2,83
CR0024,2025-04,4,22179,2184.7,313
CR0024,2025-05,3,37073,5412.9,233
CR0024,2025-06,2,24486,2537.7,105
CR0024,2025-07,8,22952,2950.1,133
CR0024,2025-08,3,29073,4078.9,339
CR0024,2025-09,2,24271,2157.4,172
CR0024,2025-10,6,26091,3600.1,147
CR0024,2025-11,0,0,0.0,0
CR0024,2025-12,3,26852,3742.2,221
CR0025,2025-01,7,61630,4624.2,629
CR0025,2025-02,3,76467,8047.3,401
CR0025,2025-03,7,86209,9089.1,797
CR0025,2025-04,10,63149,8140.6,497
CR0025,2025-05,4,80381,5544.2,867
CR0025,2025-06,9,63169,4079.4,530
CR0025,2025-07,4,78226,11709.8,722
CR0025,2025-08,4,82328,7301.8,795
CR0025,2025-09,3,96335,12467.5,1068
CR0025,2025-10,10,103522,9620.1,740
CR0025,2025-11,10,85084,7171.8,622
CR0025,2025-12,4,87523,7643.6,1057
CR0026,2025-01,2,8705,885.8,66
CR0026,2025-02,5,13882,1255.6,127
CR0026,2025-03,3,13849,1472.0,166
CR0026,2025-04,4,10126,690.1,90
CR0026,2025-05,3,19415,1234.9,154
CR0026,2025-06,0,0,0.0,0
CR0026,2025-07,3,16114,1005.3,147
CR0026,2025-08,1,16587,2183.7,99
CR0026,2025-09,3,8700,1067.3,101
CR0026,2025-10,4,16394,2417.5,211
CR0026,2025-11,4,15074,1979.6,106
CR0026,2025-12,6,12084,821.9,97
CR0027,2025-01,12,155226,9921.8,1450
CR0027,2025-02,8,185936,22583.7,1138
CR0027,2025-03,11,276111,23170.9,3707
CR0027,2025-04,11,223931,17557.7,3171
CR0027,2025-05,16,213129,28704.6,951
CR0027,2025-06,11,288798,35486.3,3584
CR0027,2025-07,7,302138,27968.8,3409
CR0027,2025-08,5,164328,21688.0,1921
CR0027,2025-09,9,350372,45420.0,3278
CR0027,2025-10,14,175153,22930.4,1373
CR0027,2025-11,8,339092,23247.1,4151
CR0027,2025-12,9,223992,33000.9,3200
CR0028,2025-01,7,159626,16592.6,822
CR0028,2025-02,6,182522,14581.8,1353
CR0028,2025-03,10,172771,19742.2,1273
CR0028,2025-04,6,142915,9072.3,969
CR0028,2025-05,7,145858,16872.2,1113
CR0028,2025-06,6,135331,18789.9,1465
CR0028,2025-07,7,209049,23165.4,2674
CR0028,2025-08,7,159213,13502.9,1755
CR0028,2025-09,7,217332,18102.0,2206
CR0028,2025-10,9,145095,11313.9,1347
CR0028,2025-11,8,163373,20556.5,851
CR0028,2025-12,7,243049,32327.3,1023
CR0029,2025-01,5,23271,1410.5,106
CR0029,2025-02,4,16321,1264.7,154
CR0029,2025-03,3,19878,2585.8,93
CR0029,2025-04,6,11533,846.7,163
CR0029,2025-05,3,11920,890.2,146
CR0029,2025-06,5,16435,1688.8,126
CR0029,2025-07,5,11208,753.8,164
CR0029,2025-08,3,16959,1385.1,233
CR0029,2025-09,4,7690,480.3,94
CR0029,2025-10,6,12340,897.2,165
CR0029,2025-11,0,0,0.0,0
CR0029,2025-12,2,10137,1293.8,113
CR0030,2025-01,3,26034,1889.1,265
CR0030,2025-02,0,0,0.0,0
CR0030,2025-03,5,13631,1514.0,121
CR0030,2025-04,4,12435,1249.7,136
CR0030,2025-05,4,33424,2038.3,439
CR0030,2025-06,3,29631,4272.3,129
CR0030,2025-07,6,27078,3554.7,215
CR0030,2025-08,4,18853,2590.0,201
CR0030,2025-09,5,27323,3747.2,253
CR0030,2025-10,0,0,0.0,0
CR0030,2025-11,4,17195,1843.9,121
CR0030,2025-12,2,22209,2683.0,255
CR0031,2025-01,3,19824,2740.6,246
CR0031,2025-02,0,0,0.0,0
CR0031,2025-03,3,16965,1628.8,129
CR0031,2025-04,4,15101,1143.7,164
CR0031,2025-05,2,24325,3144.4,109
CR0031,2025-06,4,14634,904.6,108
CR0031,2025-07,7,21141,1484.3,292
CR0031,2025-08,4,13830,1666.3,61
CR0031,2025-09,3,12844,1166.8,124
CR0031,2025-10,4,21167,2653.7,142
CR0031,2025-11,1,18925,2831.7,267
CR0031,2025-12,2,21674,3022.3,305
CR0032,2025-01,5,13036,1135.9,116
CR0032,2025-02,3,14786,1220.6,66
CR0032,2025-03,0,0,0.0,0
CR0032,2025-04,4,11130,736.6,149
CR0032,2025-05,2,14451,2111.0,195
CR0032,2025-06,1,16961,1748.5,206
CR0032,2025-07,2,18899,2269.3,97
CR0032,2025-08,1,27494,2275.1,244
CR0032,2025-09,4,19799,2054.0,198
CR0032,2025-10,3,17961,1998.7,113
CR0032,2025-11,0,0,0.0,0
CR0032,2025-12,3,18003,1762.1,228
CR0033,2025-01,8,63327,7817.3,376
CR0033,2025-02,3,71228,9599.5,291
CR0033,2025-03,9,62818,7784.6,544
CR0033,2025-04,6,60391,8895.4,583
CR0033,2025-05,4,63600,8941.7,287
CR0033,2025-06,11,67357,6216.1,601
CR0033,2025-07,4,102456,10650.4,1009
CR0033,2025-08,0,0,0.0,0
CR0033,2025-09,5,150965,21387.9,863
CR0033,2025-10,6,95285,10166.7,432
CR0033,2025-11,5,79024,7817.4,477
CR0033,2025-12,7,101446,10718.5,1086
CR0034,2025-01,15,200556,25246.4,1982
CR0034,2025-02,5,228443,27046.4,2622
CR0034,2025-03,11,129973,12985.5,1421
CR0034,2025-04,6,110965,7224.6,1063
CR0034,2025-05,12,121029,13847.8,1307
CR0034,2025-06,8,145500,11131.8,1306
CR0034,2025-07,6,151951,9877.5,1801
CR0034,2025-08,12,174452,18940.4,2045
CR0034,2025-09,12,271818,26939.0,1136
CR0034,2025-10,0,0,0.0,0
CR0034,2025-11,9,103542,12453.0,609
CR0034,2025-12,7,271105,28884.2,2270
CR0035,2025-01,6,335019,49045.8,4550
CR0035,2025-02,7,399594,42335.9,4468
CR0035,2025-03,11,360321,21866.2,2589
CR0035,2025-04,0,0,0.0,0
CR0035,2025-05,4,360828,52379.5,4309
CR0035,2025-06,9,534498,78276.6,7212
CR0035,2025-07,9,259555,33345.4,3066
CR0035,2025-08,7,565156,84568.2,7686
CR0035,2025-09,6,405603,46693.7,2772
CR0035,2025-10,8,471396,44952.8,4068
CR0035,2025-11,10,416778,49821.4,3580
CR0035,2025-12,13,500121,45133.0,5457
CR0036,2025-01,3,10400,1069.5,114
CR0036,2025-02,4,8320,894.8,71
CR0036,2025-03,2,10487,952.6,82
CR0036,2025-04,8,5089,586.3,40
CR0036,2025-05,6,10351,829.0,98
CR0036,2025-06,0,0,0.0,0
CR0036,2025-07,3,12213,970.1,177
CR0036,2025-08,5,8747,1017.8,73
CR0036,2025-09,4,9638,1097.9,117
CR0036,2025-10,3,9489,938.9,75
CR0036,2025-11,4,8773,1219.4,106
CR0036,2025-12,4,8915,1039.7,72
CR0037,2025-01,0,0,0.0,0
CR0037,2025-02,3,15028,2208.2,103
CR0037,2025-03,4,13282,1289.8,59
CR0037,2025-04,3,16412,1759.6,112
CR0037,2025-05,1,14111,1117.9,72
CR0037,2025-06,7,21204,2615.6,214
CR0037,2025-07,6,12188,723.4,85
CR0037,2025-08,0,0,0.0,0
CR0037,2025-09,3,18115,1953.6,270
CR0037,2025-10,5,14168,1735.3,86
CR0037,2025-11,3,21608,1926.2,317
CR0037,2025-12,2,20096,2090.7,237
CR0038,2025-01,0,0,0.0,0
CR0038,2025-02,2,24013,2627.1,320
CR0038,2025-03,3,17779,1920.0,165
CR0038,2025-04,4,14033,1858.2,190
CR0038,2025-05,5,19860,1702.1,186
CR0038,2025-06,9,23367,2905.1,121
CR0038,2025-07,7,13204,1552.1,145
CR0038,2025-08,4,17429,1427.9,228
CR0038,2025-09,4,23664,1421.3,241
CR0038,2025-10,4,27683,1692.7,292
CR0038,2025-11,3,23358,2795.9,119
CR0038,2025-12,1,17898,1872.7,130
CR0039,2025-01,5,17597,2248.9,254
CR0039,2025-02,1,7427,656.9,55
CR0039,2025-03,4,9978,785.8,53
CR0039,2025-04,0,0,0.0,0
CR0039,2025-05,2,11699,1351.7,142
CR0039,2025-06,3,13799,1746.3,66
CR0039,2025-07,0,0,0.0,0
CR0039,2025-08,1,11915,1518.4,143
CR0039,2025-09,7,15964,1905.3,227
CR0039,2025-10,0,0,0.0,0
CR0039,2025-11,6,9839,770.4,73
CR0039,2025-12,5,14014,1265.2,89
CR0040,2025-01,3,14516,1303.5,145
CR0040,2025-02,0,0,0.0,0
CR0040,2025-03,1,13943,1136.1,175
CR0040,2025-04,2,15701,1984.5,145
CR0040,2025-05,2,14850,1618.7,170
CR0040,2025-06,6,9027,833.3,50
CR0040,2025-07,2,16903,1013.8,87
CR0040,2025-08,5,14277,1980.8,145
CR0040,2025-09,0,0,0.0,0
CR0040,2025-10,3,17027,1212.1,103
CR0040,2025-11,5,19051,1971.7,153
CR0040,2025-12,0,0,0.0,0
CR0041,2025-01,3,14236,1864.1,126
CR0041,2025-02,5,18338,2635.1,168
CR0041,2025-03,3,12563,1592.1,187
CR0041,2025-04,4,16769,2006.7,70
CR0041,2025-05,0,0,0.0,0
CR0041,2025-06,4,18509,1511.0,128
CR0041,2025-07,6,16226,2075.2,142
CR0041,2025-08,1,14495,1785.7,153
CR0041,2025-09,5,27560,3860.1,392
CR0041,2025-10,5,13132,788.9,71
CR0041,2025-11,3,19318,1486.7,106
CR0041,2025-12,4,25421,1509.8,125
CR0042,2025-01,3,15011,2172.0,143
CR0042,2025-02,5,13138,1078.2,81
CR0042,2025-03,4,21805,3102.3,288
CR0042,2025-04,2,10266,641.2,92
CR0042,2025-05,4,12065,1036.8,157
CR0042,2025-06,3,10241,1159.2,124
CR0042,2025-07,7,10929,1245.4,109
CR0042,2025-08,7,14328,1577.0,137
CR0042,2025-09,6,9133,797.3,92
CR0042,2025-10,3,11716,1740.2,55
CR0042,2025-11,6,15116,1165.0,151
CR0042,2025-12,3,20770,1266.8,282
CR0043,2025-01,8,99221,6756.4,793
CR0043,2025-02,4,122621,17472.7,975
CR0043,2025-03,2,96662,13329.0,1049
CR0043,2025-04,3,93809,6604.6,460
CR0043,2025-05,5,78122,10628.9,850
CR0043,2025-06,6,106938,6444.7,632
CR0043,2025-07,7,83816,7004.8,1072
CR0043,2025-08,7,83964,6301.8,837
CR0043,2025-09,12,61794,8113.5,336
CR0043,2025-10,5,108216,7426.6,744
CR0043,2025-11,11,91754,7697.2,449
CR0043,2025-12,7,100479,11512.3,1385
CR0044,2025-01,5,15721,1584.6,76
CR0044,2025-02,4,19126,2311.5,172
CR0044,2025-03,3,13703,821.3,110
CR0044,2025-04,0,0,0.0,0
CR0044,2025-05,1,14876,2160.0,150
CR0044,2025-06,3,14814,1478.6,197
CR0044,2025-07,4,23001,1690.3,129
CR0044,2025-08,3,27324,3054.5,297
CR0044,2025-09,0,0,0.0,0
CR0044,2025-10,0,0,0.0,0
CR0044,2025-11,5,22621,2277.7,189
CR0044,2025-12,4,39704,3083.7,444
CR0045,2025-01,3,75238,5493.2,308
CR0045,2025-02,6,67597,4738.0,782
CR0045,2025-03,8,60106,3785.7,601
CR0045,2025-04,0,0,0.0,0
CR0045,2025-05,5,87749,6482.6,791
CR0045,2025-06,5,131772,11480.9,1506
CR0045,2025-07,5,112694,12197.9,1650
CR0045,2025-08,5,106066,10980.2,590
CR0045,2025-09,4,81007,9241.7,742
CR0045,2025-10,3,129332,18105.0,1845
CR0045,2025-11,6,99256,6069.7,704
CR0045,2025-12,3,92992,13377.1,1247
CR0046,2025-01,6,379761,30109.6,4322
CR0046,2025-02,9,360750,51572.0,4490
CR0046,2025-03,9,369982,50857.8,1927
CR0046,2025-04,9,334631,39816.1,2490
CR0046,2025-05,8,353777,52459.1,4392
CR0046,2025-06,7,316615,34799.2,4252
CR0046,2025-07,7,355494,50257.8,3037
CR0046,2025-08,5,588844,70534.5,5111
CR0046,2025-09,8,414467,34226.1,5296
CR0046,2025-10,10,374061,46063.8,3710
CR0046,2025-11,9,528527,62737.7,4696
CR0046,2025-12,6,548551,38885.9,6145
CR0047,2025-01,3,8886,554.8,110
CR0047,2025-02,0,0,0.0,0
CR0047,2025-03,3,16638,1163.2,227
CR0047,2025-04,7,14535,1789.8,60
CR0047,2025-05,2,10482,838.3,125
CR0047,2025-06,1,12936,1771.5,110
CR0047,2025-07,4,16681,1719.6,163
CR0047,2025-08,1,13828,1804.2,198
CR0047,2025-09,5,16776,1134.2,245
CR0047,2025-10,0,0,0.0,0
CR0047,2025-11,6,29531,4088.0,280
CR0047,2025-12,0,0,0.0,0
CR0048,2025-01,2,26165,3401.4,140
CR0048,2025-02,4,10966,1014.6,65
CR0048,2025-03,0,0,0.0,0
CR0048,2025-04,2,24136,1717.6,159
CR0048,2025-05,6,19215,1915.6,284
CR0048,2025-06,2,21891,2652.3,195
CR0048,2025-07,6,27299,2769.8,377
CR0048,2025-08,3,20802,1495.5,300
CR0048,2025-09,4,20395,1755.8,191
CR0048,2025-10,2,20610,2284.1,92
CR0048,2025-11,4,28181,3810.5,213
CR0048,2025-12,2,21833,3220.0,157
CR0049,2025-01,3,18604,1126.9,243
CR0049,2025-02,6,17592,2313.4,245
CR0049,2025-03,3,17754,1564.2,86
CR0049,2025-04,5,47399,6097.2,576
CR0049,2025-05,5,16967,1191.1,180
CR0049,2025-06,2,20290,2499.4,281
CR0049,2025-07,4,18407,2206.1,129
CR0049,2025-08,2,16592,1907.1,238
CR0049,2025-09,6,44006,4657.7,356
CR0049,2025-10,3,16707,1813.3,92
CR0049,2025-11,5,41274,5306.4,379
CR0049,2025-12,2,20132,1349.2,205
CR0050,2025-01,2,15182,1632.2,123
CR0050,2025-02,1,13350,1115.0,125
CR0050,2025-03,0,0,0.0,0
CR0050,2025-04,4,26521,3717.5,131
CR0050,2025-05,0,0,0.0,0
CR0050,2025-06,4,15879,1884.0,175
CR0050,2025-07,0,0,0.0,0
CR0050,2025-08,2,11671,1720.2,124
CR0050,2025-09,5,27440,3432.3,336
CR0050,2025-10,4,34000,3982.9,369
CR0050,2025-11,2,15672,1360.4,128
CR0050,2025-12,4,33951,4616.1,155
CR0051,2025-01,6,74462,8569.2,496
CR0051,2025-02,7,79446,8908.0,523
CR0051,2025-03,7,82353,7705.0,485
CR0051,2025-04,4,80486,7557.2,340
CR0051,2025-05,6,98741,8081.0,609
CR0051,2025-06,7,93110,7706.1,1057
CR0051,2025-07,4,99654,9371.2,1223
CR0051,2025-08,7,121532,9284.5,1085
CR0051,2025-09,7,126087,16116.7,849
CR0051,2025-10,0,0,0.0,0
CR0051,2025-11,5,177200,18057.1,1304
CR0051,2025-12,6,151826,19048.5,1413
CR0052,2025-01,0,0,0.0,0
CR0052,2025-02,3,14158,981.6,94
CR0052,2025-03,4,13269,1935.0,62
CR0052,2025-04,5,13408,1020.6,132
CR0052,2025-05,6,16452,1763.4,238
CR0052,2025-06,4,13851,1943.8,71
CR0052,2025-07,4,25292,2482.5,258
CR0052,2025-08,4,23033,2272.2,247
CR0052,2025-09,5,16309,956.6,111
CR0052,2025-10,0,0,0.0,0
CR0052,2025-11,1,30884,3823.4,294
CR0052,2025-12,4,20883,2879.4,156
CR0053,2025-01,2,22509,3318.7,326
CR0053,2025-02,4,16059,1828.0,72
CR0053,2025-03,3,22637,2995.3,97
CR0053,2025-04,6,16046,1525.7,121
CR0053,2025-05,4,12618,1362.8,102
CR0053,2025-06,0,0,0.0,0
CR0053,2025-07,6,32929,4518.2,307
CR0053,2025-08,3,29971,2056.3,284
CR0053,2025-09,4,13625,1196.8,167
CR0053,2025-10,5,20681,1751.5,307
CR0053,2025-11,7,17878,1158.1,256
CR0053,2025-12,5,27204,3865.2,350
