case_id,creator_id,opened_date,case_type,case_channel,resolution_hours,first_contact_resolved,satisfaction_score,case_status
SC00054,CR0017,2025-01-01,Policy Question,Email,14.1,1,5.0,Closed
SC00055,CR0017,2025-02-17,Technical Issue,Chat,16.5,1,4.0,Closed
SC00056,CR0017,2025-01-24,Technical Issue,Phone,6.3,0,4.0,Closed
SC00057,CR0017,2025-03-18,Technical Issue,Chat,8.0,0,5.0,Closed
SC00058,CR0018,2025-06-17,Policy Question,Email,10.5,1,4.0,Closed
SC00059,CR0018,2025-04-06,Account Access,Phone,1.1,0,5.0,Closed
SC00060,CR0019,2025-10-14,Technical Issue,Phone,10.3,1,5.0,Closed
SC00061,CR0019,2025-10-14,Account Access,Chat,7.3,1,5.0,Closed
SC00062,CR0019,2025-04-24,Policy Question,Email,6.5,1,5.0,Closed
SC00063,CR0020,2025-01-31,Monetization,Email,14.0,1,4.0,Closed
SC00064,CR0021,2025-08-26,Policy Question,Chat,38.1,1,3.0,Closed
SC00065,CR0021,2025-09-05,Monetization,Email,6.1,1,4.0,Closed
SC00066,CR0021,2025-12-09,Technical Issue,Email,,0,,Open
SC00067,CR0021,2025-08-11,Analytics Question,Email,8.4,0,4.0,Closed
SC00068,CR0021,2025-08-08,Analytics Question,Email,13.6,0,5.0,Closed
SC00069,CR0022,2025-08-26,Policy Question,Chat,11.5,0,4.0,Closed
SC00070,CR0022,2025-02-03,Monetization,Email,9.3,1,4.0,Closed
SC00071,CR0022,2025-05-26,Monetization,Chat,7.2,1,5.0,Closed
SC00072,CR0023,2025-05-04,Policy Question,Chat,18.9,1,4.0,Closed
SC00073,CR0023,2025-10-15,Technical Issue,Email,10.8,1,4.0,Closed
SC00074,CR0023,2025-04-20,Technical Issue,Phone,26.2,1,4.0,Closed
SC00075,CR0023,2025-06-26,Policy Question,Phone,12.7,0,4.0,Closed
SC00076,CR0024,2025-03-30,Policy Question,Email,17.5,0,5.0,Closed
SC00077,CR0024,2025-08-12,Policy Question,Chat,16.6,1,4.0,Closed
SC00078,CR0024,2025-03-04,Analytics Question,Chat,3.7,1,4.0,Closed
SC00079,CR0024,2025-05-09,Analytics Question,Email,9.6,1,4.0,Closed
SC00080,CR0026,2025-02-16,Policy Question,Chat,14.4,0,5.0,Closed
SC00081,CR0026,2025-06-04,Account Access,Chat,9.8,0,4.0,Closed
SC00082,CR0026,2025-02-16,Policy Question,Email,5.9,0,5.0,Closed
SC00083,CR0027,2025-03-02,Technical Issue,Phone,11.6,0,5.0,Closed
SC00084,CR0027,2025-05-21,Account Access,Email,14.0,0,4.0,Closed
SC00085,CR0028,2025-11-22,Technical Issue,Chat,26.0,1,4.0,Closed
SC00086,CR0028,2025-02-20,Account Access,Chat,4.2,0,5.0,Closed
SC00087,CR0028,2025-06-09,Analytics Question,Phone,8.1,0,5.0,Closed
SC00088,CR0029,2025-11-04,Technical Issue,Email,2.1,1,5.0,Closed
SC00089,CR0029,2025-10-31,Monetization,Email,,0,,Open
SC00090,CR0029,2025-04-14,Analytics Question,Chat,7.1,0,5.0,Closed
SC00091,CR0029,2025-10-06,Monetization,Email,20.5,1,4.0,Closed
SC00092,CR0029,2025-02-17,Technical Issue,Email,21.5,1,4.0,Closed
SC00093,CR0029,2025-12-15,Technical Issue,Chat,14.5,1,4.0,Closed
SC00094,CR0030,2025-05-20,Technical Issue,Email,11.2,1,5.0,Closed
SC00095,CR0030,2025-09-03,Monetization,Email,28.1,1,3.0,Closed
SC00096,CR0031,2025-08-01,Technical Issue,Email,6.5,1,5.0,Closed
SC00097,CR0031,2025-05-28,Technical Issue,Phone,,0,,Open
SC00098,CR0031,2025-05-29,Policy Question,Email,7.4,1,5.0,Closed
SC00099,CR0033,2025-09-12,Monetization,Chat,24.9,1,3.0,Closed
SC00100,CR0033,2025-06-08,Account Access,Email,43.1,1,3.0,Closed
SC00101,CR0033,2025-07-06,Policy Question,Chat,62.6,1,2.0,Closed
SC00102,CR0034,2025-12-29,Monetization,Email,2.3,1,4.0,Closed
SC00103,CR0035,2025-04-24,Analytics Question,Chat,21.6,1,4.0,Closed
SC00104,CR0036,2025-03-20,Analytics Question,Email,20.6,0,5.0,Closed
SC00105,CR0036,2025-01-28,Account Access,Email,8.1,1,5.0,Closed
SC00106,CR0036,2025-03-31,Technical Issue,Email,21.6,1,4.0,Closed
SC00107,CR0036,2025-08-13,Monetization,Email,30.2,0,3.0,Closed
SC00108,CR0036,2025-09-30,Analytics Question,Chat,,0,,Open
SC00109,CR0037,2025-01-04,Policy Question,Phone,4.5,1,5.0,Closed
SC00110,CR0038,2025-12-07,Technical Issue,Chat,4.3,0,4.0,Closed
SC00111,CR0038,2025-10-20,Monetization,Email,18.5,1,5.0,Closed
SC00112,CR0038,2025-09-12,Analytics Question,Chat,,0,,Open
SC00113,CR0038,2025-02-16,Analytics Question,Chat,3.7,1,4.0,Closed
SC00114,CR0038,2025-10-29,Monetization,Email,10.2,1,4.0,Closed
SC00115,CR0039,2025-06-06,Monetization,Chat,1.7,1,4.0,Closed
SC00116,CR0039,2025-07-12,Analytics Question,Email,14.2,1,4.0,Closed
SC00117,CR0039,2025-08-11,Monetization,Email,19.6,1,4.0,Closed
SC00118,CR0040,2025-03-01,Policy Question,Phone,6.7,1,4.0,Closed
SC00119,CR0040,2025-03-04,Policy Question,Phone,,0,,Open
SC00120,CR0040,2025-10-12,Policy Question,Email,11.3,0,3.0,Closed
SC00121,CR0040,2025-05-24,Analytics Question,Email,8.8,1,5.0,Closed
SC00122,CR0040,2025-07-14,Analytics Question,Email,5.2,0,5.0,Closed
SC00123,CR0040,2025-07-05,Monetization,Email,7.2,1,4.0,Closed
SC00124,CR0040,2025-03-28,Policy Question,Chat,21.5,1,5.0,Closed
SC00125,CR0041,2025-09-24,Technical Issue,Email,36.4,1,2.0,Closed
SC00126,CR0043,2025-07-29,Technical Issue,Email,16.2,1,5.0,Closed
SC00127,CR0044,2025-11-21,Technical Issue,Chat,7.0,0,5.0,Closed
SC00128,CR0044,2025-06-12,Technical Issue,Email,14.0,0,3.0,Closed
SC00129,CR0046,2025-08-20,Account Access,Phone,8.9,1,4.0,Closed
SC00130,CR0047,2025-06-07,Policy Question,Phone,7.1,1,4.0,Closed
SC00131,CR0047,2025-07-11,Technical Issue,Chat,8.6,1,5.0,Closed
SC00132,CR0047,2025-06-09,Policy Question,Chat,9.1,1,5.0,Closed
SC00133,CR0048,2025-06-23,Policy Question,Chat,9.7,1,5.0,Closed
SC00134,CR0048,2025-08-24,Monetization,Chat,8.4,0,5.0,Closed
SC00135,CR0048,2025-05-27,Monetization,Email,9.8,1,5.0,Closed
SC00136,CR0049,2025-10-30,Analytics Question,Chat,22.4,1,5.0,Closed
SC00137,CR0049,2025-06-30,Technical Issue,Chat,7.2,1,5.0,Closed
SC00138,CR0049,2025-08-30,Policy Question,Chat,2.1,0,4.0,Closed
SC00139,CR0049,2025-09-15,Technical Issue,Chat,13.6,1,4.0,Closed
SC00140,CR0050,2025-05-07,Account Access,Email,18.0,1,4.0,Closed
SC00141,CR0050,2025-07-10,Technical Issue,Email,5.1,1,4.0,Closed
SC00142,CR0051,2025-01-24,Monetization,Chat,19.3,1,4.0,Closed
SC00143,CR0051,2025-11-02,Policy Question,Chat,16.7,1,5.0,Closed
SC00144,CR0051,2025-12-20,Monetization,Chat,19.1,1,4.0,Closed
SC00145,CR0052,2025-04-22,Monetization,Chat,,0,,Open
SC00146,CR0052,2025-05-17,Policy Question,Phone,67.9,0,1.0,Closed
SC00147,CR0052,2025-01-11,Technical Issue,Chat,25.9,0,5.0,Closed
SC00148,CR0052,2025-06-03,Analytics Question,Phone,6.2,1,5.0,Closed
SC00149,CR0053,2025-09-07,Monetization,Email,25.6,1,5.0,Closed
SC00150,CR0054,2025-08-24,Technical Issue,Email,15.4,0,4.0,Closed
SC00151,CR0056,2025-11-23,Monetization,Chat,8.0,1,5.0,Closed
SC00152,CR0057,2025-11-07,Analytics Question,Phone,11.6,1,4.0,Closed
SC00153,CR0057,2025-04-22,Policy Question,Email,11.4,1,5.0,Closed
SC00154,CR0058,2025-01-27,Account Access,Phone,10.0,1,3.0,Closed
SC00155,CR0059,2025-08-14,Analytics Question,Email,29.5,1,3.0,Closed
SC00156,CR0059,2025-06-06,Monetization,Email,17.1,1,4.0,Closed
SC00157,CR0059,2025-06-21,Technical Issue,Chat,3.8,0,5.0,Closed
SC00158,CR0059,2025-06-12,Policy Question,Chat,43.8,0,3.0,Closed
SC00159,CR0061,2025-06-22,Policy Question,Chat,4.8,1,5.0,Closed
SC00160,CR0061,2025-08-21,Technical Issue,Chat,25.9,1,4.0,Closed
SC00161,CR0061,2025-11-18,Analytics Question,Phone,7.8,1,4.0,Closed
SC00162,CR0062,2025-07-16,Monetization,Chat,,0,,Open
SC00163,CR0062,2025-07-06,Policy Question,Chat,,0,,Open
SC00164,CR0062,2025-09-23,Policy Question,Phone,8.6,1,5.0,Closed
SC00165,CR0062,2025-02-01,Analytics Question,Chat,10.5,0,4.0,Closed
SC00166,CR0063,2025-09-02,Analytics Question,Email,2.7,0,5.0,Closed
SC00167,CR0064,2025-02-09,Technical Issue,Email,4.1,0,4.0,Closed
SC00168,CR0064,2025-11-30,Technical Issue,Chat,5.7,1,4.0,Closed
SC00169,CR0064,2025-12-20,Analytics Question,Chat,,0,,Open
SC00170,CR0064,2025-05-29,Account Access,Phone,11.5,1,4.0,Closed
SC00171,CR0064,2025-07-24,Analytics Question,Email,4.4,1,5.0,Closed
SC00172,CR0065,2025-09-02,Policy Question,Chat,8.0,1,5.0,Closed
SC00173,CR0065,2025-02-12,Policy Question,Email,18.0,1,3.0,Closed
SC00174,CR0065,2025-12-25,Monetization,Phone,18.0,1,5.0,Closed
SC00175,CR0065,2025-12-25,Technical Issue,Chat,39.7,1,2.0,Closed
SC00176,CR0065,2025-08-09,Technical Issue,Phone,7.9,0,3.0,Closed
SC00177,CR0066,2025-05-22,Analytics Question,Chat,15.2,1,4.0,Closed
SC00178,CR0066,2025-10-12,Analytics Question,Chat,19.8,1,4.0,Closed
SC00179,CR0066,2025-01-05,Policy Question,Email,6.1,1,5.0,Closed
SC00180,CR0066,2025-02-24,Monetization,Chat,26.4,0,5.0,Closed
SC00181,CR0066,2025-05-26,Technical Issue,Chat,16.3,0,5.0,Closed
SC00182,CR0067,2025-09-28,Technical Issue,Chat,18.3,1,4.0,Closed
SC00183,CR0067,2025-12-06,Policy Question,Email,20.6,1,5.0,Closed
SC00184,CR0069,2025-12-31,Account Access,Chat,8.2,1,5.0,Closed
SC00185,CR0069,2025-04-01,Technical Issue,Email,13.4,1,4.0,Closed
SC00186,CR0069,2025-08-06,Policy Question,Chat,4.0,1,4.0,Closed
SC00187,CR0069,2025-02-07,Analytics Question,Email,4.5,0,4.0,Closed
SC00188,CR0071,2025-10-18,Account Access,Email,3.4,1,5.0,Closed
SC00189,CR0071,2025-02-11,Analytics Question,Phone,6.6,0,5.0,Closed
SC00190,CR0072,2025-04-26,Technical Issue,Phone,16.5,1,4.0,Closed
SC00191,CR0073,2025-06-07,Analytics Question,Chat,7.1,0,4.0,Closed
SC00192,CR0073,2025-10-11,Technical Issue,Chat,,0,,Open
SC00193,CR0074,2025-08-14,Technical Issue,Chat,4.3,1,5.0,Closed
SC00194,CR0074,2025-07-19,Analytics Question,Email,6.1,1,5.0,Closed
SC00195,CR0074,2025-01-24,Account Access,Email,14.7,1,4.0,Closed
SC00196,CR0075,2025-12-09,Policy Question,Email,7.8,1,5.0,Closed
SC00197,CR0075,2025-05-07,Analytics Question,Chat,6.8,1,5.0,Closed
SC00198,CR0075,2025-08-02,Policy Question,Email,13.9,1,5.0,Closed
SC00199,CR0075,2025-02-27,Monetization,Phone,12.0,0,4.0,Closed
SC00200,CR0075,2025-04-06,Technical Issue,Email,6.5,0,4.0,Closed
SC00201,CR0075,2025-03-06,Policy Question,Chat,13.6,0,3.0,Closed
SC00202,CR0075,2025-11-10,Technical Issue,Phone,13.7,1,5.0,Closed
SC00203,CR0076,2025-02-21,Policy Question,Phone,7.2,1,5.0,Closed
SC00204,CR0076,2025-07-14,Technical Issue,Phone,7.2,1,5.0,Closed
SC00205,CR0076,2025-07-24,Analytics Question,Email,1.8,0,5.0,Closed
SC00206,CR0077,2025-06-28,Policy Question,Chat,42.9,0,3.0,Closed
SC00207,CR0077,2025-02-01,Monetization,Email,6.8,1,4.0,Closed
SC00208,CR0078,2025-06-04,Account Access,Chat,25.1,1,3.0,Closed
SC00209,CR0078,2025-07-09,Analytics Question,Phone,3.4,1,5.0,Closed
SC00210,CR0078,2025-10-06,Technical Issue,Email,9.4,1,4.0,Closed
SC00211,CR0078,2025-11-27,Monetization,Email,9.6,0,5.0,Closed
SC00212,CR0078,2025-04-11,Monetization,Chat,,0,,Open
SC00213,CR0078,2025-04-29,Monetization,Phone,10.4,1,5.0,Closed
SC00214,CR0078,2025-01-20,Account Access,Email,3.3,1,4.0,Closed
SC00215,CR0079,2025-03-01,Analytics Question,Email,21.1,1,4.0,Closed
SC00216,CR0079,2025-05-09,Monetization,Phone,,0,,Open
SC00217,CR0080,2025-10-29,Technical Issue,Email,16.0,1,4.0,Closed
SC00218,CR0080,2025-07-29,Technical Issue,Chat,4.5,1,4.0,Closed
SC00219,CR0081,2025-01-06,Analytics Question,Email,10.6,0,4.0,Closed
SC00220,CR0083,2025-04-21,Technical Issue,Chat,,0,,Open
SC00221,CR0083,2025-12-13,Account Access,Chat,13.0,0,4.0,Closed
SC00222,CR0084,2025-10-21,Analytics Question,Email,3.5,1,5.0,Closed
SC00223,CR0084,2025-12-10,Monetization,Email,11.2,1,5.0,Closed
SC00224,CR0084,2025-01-13,Policy Question,Chat,14.6,0,5.0,Closed
SC00225,CR0084,2025-05-18,Policy Question,Chat,30.2,1,3.0,Closed
SC00226,CR0085,2025-08-29,Monetization,Chat,13.9,1,4.0,Closed
SC00227,CR0085,2025-06-10,Policy Question,Email,6.3,0,4.0,Closed
SC00228,CR0086,2025-10-09,Account Access,Chat,5.8,1,5.0,Closed
SC00229,CR0087,2025-04-16,Technical Issue,Email,28.0,1,4.0,Closed
SC00230,CR0087,2025-04-22,Monetization,Phone,1.7,0,5.0,Closed
SC00231,CR0088,2025-01-27,Technical Issue,Chat,44.4,1,1.0,Closed
SC00232,CR0089,2025-01-25,Policy Question,Email,2.1,1,5.0,Closed
SC00233,CR0089,2025-07-05,Monetization,Chat,16.9,1,4.0,Closed
SC00234,CR0089,2025-12-15,Monetization,Phone,12.2,1,5.0,Closed
SC00235,CR0089,2025-07-03,Policy Question,Chat,6.9,1,5.0,Closed
SC00236,CR0090,2025-11-20,Technical Issue,Email,9.4,0,4.0,Closed
SC00237,CR0090,2025-08-12,Policy Question,Email,11.6,1,4.0,Closed
SC00238,CR0090,2025-04-20,Analytics Question,Chat,3.5,0,5.0,Closed
SC00239,CR0091,2025-04-12,Analytics Question,Chat,15.2,0,5.0,Closed
SC00240,CR0091,2025-12-22,Monetization,Chat,5.2,0,4.0,Closed
SC00241,CR0091,2025-12-15,Account Access,Email,4.5,0,4.0,Closed
SC00242,CR0091,2025-06-10,Monetization,Email,37.6,1,3.0,Closed
SC00243,CR0092,2025-11-06,Policy Question,Phone,14.8,1,5.0,Closed
SC00244,CR0092,2025-06-03,Account Access,Phone,15.1,0,3.0,Closed
SC00245,CR0092,2025-12-09,Policy Question,Email,,0,,Open
SC00246,CR0092,2025-11-05,Policy Question,Chat,18.4,0,4.0,Closed
SC00247,CR0094,2025-07-03,Analytics Question,Chat,13.9,0,5.0,Closed
SC00248,CR0094,2025-02-06,Account Access,Email,4.7,1,5.0,Closed
SC00249,CR0094,2025-03-31,Technical Issue,Phone,9.1,1,5.0,Closed
SC00250,CR0094,2025-10-08,Monetization,Phone,24.7,0,3.0,Closed
SC00251,CR0095,2025-09-18,Policy Question,Email,12.1,1,3.0,Closed
SC00252,CR0095,2025-06-12,Monetization,Email,16.1,1,4.0,Closed
SC00253,CR0095,2025-05-23,Monetization,Chat,9.5,1,4.0,Closed
SC00254,CR0096,2025-10-01,Account Access,Email,13.7,0,4.0,Closed
SC00255,CR0096,2025-07-04,Technical Issue,Phone,15.8,1,5.0,Closed
SC00256,CR0097,2025-11-18,Technical Issue,Phone,8.3,1,5.0,Closed
SC00257,CR0098,2025-05-02,Monetization,Phone,11.4,1,4.0,Closed
SC00258,CR0099,2025-09-11,Policy Question,Chat,21.4,1,4.0,Closed
SC00259,CR0100,2025-07-27,Policy Question,Chat,3.5,1,4.0,Closed
SC00260,CR0101,2025-04-03,Technical Issue,Chat,26.1,1,4.0,Closed
SC00261,CR0101,2025-04-29,Account Access,Chat,15.6,1,4.0,Closed
SC00262,CR0101,2025-04-10,Monetization,Chat,21.5,1,4.0,Closed
SC00263,CR0102,2025-01-10,Technical Issue,Email,5.0,0,5.0,Closed
SC00264,CR0102,2025-03-16,Monetization,Email,10.9,1,4.0,Closed
SC00265,CR0102,2025-09-14,Monetization,Chat,3.8,1,5.0,Closed
SC00266,CR0102,2025-08-31,Policy Question,Chat,15.6,1,4.0,Closed
SC00267,CR0102,2025-01-12,Analytics Question,Chat,10.4,1,3.0,Closed
SC00268,CR0102,2025-01-25,Monetization,Phone,8.1,1,5.0,Closed
SC00269,CR0103,2025-12-14,Technical Issue,Phone,15.8,1,4.0,Closed
SC00270,CR0103,2025-04-12,Policy Question,Chat,21.8,1,3.0,Closed
SC00271,CR0103,2025-03-06,Monetization,Chat,25.5,0,3.0,Closed
SC00272,CR0103,2025-05-25,Policy Question,Phone,15.2,0,4.0,Closed
SC00273,CR0106,2025-05-29,Account Access,Chat,8.9,0,4.0,Closed
SC00274,CR0106,2025-04-18,Analytics Question,Email,4.0,1,4.0,Closed
SC00275,CR0106,2025-11-25,Account Access,Email,6.9,1,5.0,Closed
SC00276,CR0106,2025-05-19,Technical Issue,Phone,6.8,1,5.0,Closed
SC00277,CR0107,2025-09-14,Policy Question,Phone,16.2,1,5.0,Closed
SC00278,CR0107,2025-08-16,Technical Issue,Phone,4.8,1,4.0,Closed
SC00279,CR0108,2025-10-08,Analytics Question,Chat,14.5,1,5.0,Closed
SC00280,CR0108,2025-06-24,Policy Question,Phone,5.6,1,5.0,Closed
SC00281,CR0109,2025-11-09,Monetization,Chat,22.9,0,4.0,Closed
SC00282,CR0109,2025-02-09,Analytics Question,Chat,6.7,1,4.0,Closed
SC00283,CR0109,2025-02-27,Analytics Question,Chat,3.7,1,5.0,Closed
SC00284,CR0109,2025-01-16,Policy Question,Chat,10.2,0,5.0,Closed
SC00285,CR0110,2025-02-05,Technical Issue,Email,11.9,1,3.0,Closed
SC00286,CR0111,2025-07-03,Monetization,Phone,11.2,1,4.0,Closed
SC00287,CR0111,2025-10-20,Analytics Question,Email,12.5,1,5.0,Closed
SC00288,CR0112,2025-04-01,Account Access,Email,7.1,1,5.0,Closed
SC00289,CR0113,2025-04-01,Technical Issue,Email,34.1,0,3.0,Closed
SC00290,CR0113,2025-08-26,Technical Issue,Phone,16.0,0,5.0,Closed
SC00291,CR0113,2025-05-12,Policy Question,Chat,10.4,0,4.0,Closed
SC00292,CR0114,2025-08-28,Monetization,Email,9.3,0,5.0,Closed
SC00293,CR0114,2025-01-03,Technical Issue,Email,23.5,1,2.0,Closed
SC00294,CR0115,2025-12-08,Policy Question,Chat,3.2,0,5.0,Closed
SC00295,CR0115,2025-12-10,Monetization,Email,2.7,0,5.0,Closed
SC00296,CR0117,2025-09-12,Policy Question,Chat,11.2,1,5.0,Closed
SC00297,CR0117,2025-04-04,Account Access,Chat,4.1,0,5.0,Closed
SC00298,CR0118,2025-07-06,Policy Question,Phone,6.0,1,4.0,Closed
SC00299,CR0120,2025-07-29,Monetization,Email,8.6,0,4.0,Closed
SC00300,CR0120,2025-01-08,Policy Question,Chat,8.4,1,5.0,Closed
SC00301,CR0120,2025-08-13,Monetization,Email,5.3,1,5.0,Closed
SC00302,CR0120,2025-12-07,Analytics Question,Email,2.4,1,5.0,Closed
SC00303,CR0121,2025-03-27,Monetization,Email,16.3,1,5.0,Closed
SC00304,CR0121,2025-10-30,Monetization,Chat,16.7,0,4.0,Closed
SC00305,CR0121,2025-04-02,Analytics Question,Email,5.9,0,5.0,Closed
SC00306,CR0121,2025-08-24,Technical Issue,Email,8.6,1,5.0,Closed
SC00307,CR0121,2025-05-31,Technical Issue,Chat,11.1,1,5.0,Closed
SC00308,CR0122,2025-02-05,Policy Question,Chat,6.0,1,5.0,Closed
SC00309,CR0122,2025-12-07,Policy Question,Email,21.5,0,3.0,Closed
SC00310,CR0123,2025-02-03,Account Access,Email,,0,,Open
SC00311,CR0123,2025-01-13,Monetization,Phone,11.2,0,5.0,Closed
SC00312,CR0124,2025-10-28,Technical Issue,Chat,9.0,0,4.0,Closed
SC00313,CR0124,2025-01-24,Policy Question,Email,,0,,Open
SC00314,CR0124,2025-05-28,Technical Issue,Chat,19.4,1,5.0,Closed
SC00315,CR0125,2025-05-22,Monetization,Phone,16.7,0,5.0,Closed
SC00316,CR0125,2025-11-30,Monetization,Email,11.7,1,5.0,Closed
SC00317,CR0125,2025-12-20,Analytics Question,Chat,7.6,0,4.0,Closed
SC00318,CR0126,2025-06-01,Analytics Question,Chat,19.4,0,4.0,Closed
SC00319,CR0126,2025-03-06,Account Access,Chat,1.6,1,4.0,Closed
SC00320,CR0126,2025-11-07,Monetization,Chat,17.7,1,3.0,Closed
SC00321,CR0126,2025-10-16,Monetization,Phone,17.9,0,4.0,Closed
SC00322,CR0126,2025-01-08,Analytics Question,Phone,6.9,1,4.0,Closed
SC00323,CR0126,2025-03-14,Analytics Question,Chat,7.9,1,5.0,Closed
SC00324,CR0126,2025-04-13,Technical Issue,Chat,17.8,1,4.0,Closed
SC00325,CR0126,2025-08-01,Technical Issue,Email,31.1,1,3.0,Closed
SC00326,CR0126,2025-05-21,Account Access,Email,16.4,1,5.0,Closed
SC00327,CR0126,2025-09-10,Monetization,Chat,9.2,1,4.0,Closed
SC00328,CR0127,2025-02-10,Technical Issue,Phone,3.3,1,4.0,Closed
SC00329,CR0127,2025-07-07,Technical Issue,Email,1.8,1,5.0,Closed
SC00330,CR0127,2025-09-21,Monetization,Email,11.9,1,4.0,Closed
SC00331,CR0127,2025-10-30,Analytics Question,Phone,3.2,1,5.0,Closed
SC00332,CR0127,2025-12-26,Technical Issue,Email,5.9,1,5.0,Closed
SC00333,CR0127,2025-11-07,Monetization,Chat,,0,,Open
SC00334,CR0127,2025-08-26,Account Access,Email,4.5,1,5.0,Closed
SC00335,CR0128,2025-11-23,Monetization,Email,11.2,1,4.0,Closed
SC00336,CR0128,2025-10-23,Account Access,Phone,,0,,Open
SC00337,CR0128,2025-02-10,Technical Issue,Chat,12.2,1,4.0,Closed
SC00338,CR0129,2025-08-24,Monetization,Chat,3.8,0,5.0,Closed
SC00339,CR0129,2025-07-30,Account Access,Email,8.5,1,4.0,Closed
SC00340,CR0129,2025-06-25,Technical Issue,Chat,8.7,1,4.0,Closed
SC00341,CR0129,2025-03-04,Monetization,Chat,4.9,1,5.0,Closed
SC00342,CR0129,2025-01-27,Account Access,Phone,27.1,1,4.0,Closed
SC00343,CR0130,2025-05-11,Technical Issue,Phone,22.6,0,4.0,Closed
SC00344,CR0130,2025-07-02,Monetization,Phone,5.6,1,5.0,Closed
SC00345,CR0130,2025-05-04,Technical Issue,Email,,0,,Open
SC00346,CR0130,2025-03-14,Technical Issue,Chat,,0,,Open
