creator_id,join_date,region,category,partner_tier
CR0336,2023-03-09,US & Canada,Gaming,Emerging
CR0337,2022-04-29,Other LATAM,Music,Established
CR0338,2022-11-16,Brazil,Gaming,Emerging
CR0339,2023-11-29,US & Canada,Music,Growth
CR0340,2024-01-07,Other LATAM,Gaming,Emerging
CR0341,2024-09-19,US & Canada,Lifestyle,Established
CR0342,2022-10-11,Brazil,Music,Established
CR0343,2023-01-04,Brazil,Education,Established
CR0344,2022-04-06,Mexico,Lifestyle,Emerging
CR0345,2024-06-30,Brazil,Education,Emerging
CR0346,2022-06-16,US & Canada,Education,Growth
CR0347,2022-02-15,Mexico,Lifestyle,Emerging
CR0348,2023-11-02,US & Canada,Gaming,Growth
CR0349,2024-01-21,US & Canada,Entertainment,Emerging
CR0350,2022-10-09,Other LATAM,Lifestyle,Growth
CR0351,2023-10-26,US & Canada,Education,Established
CR0352,2023-03-29,US & Canada,Lifestyle,Growth
CR0353,2024-12-26,Brazil,Education,Emerging
CR0354,2024-04-12,US & Canada,Gaming,Growth
CR0355,2023-03-19,Mexico,Entertainment,Growth
CR0356,2024-04-30,US & Canada,Entertainment,Established
CR0357,2022-09-02,Other LATAM,Music,Emerging
CR0358,2023-01-17,Mexico,Gaming,Emerging
CR0359,2024-09-22,Brazil,Lifestyle,Emerging
CR0360,2022-03-05,US & Canada,Lifestyle,Established
CR0361,2024-11-12,US & Canada,Music,Established
CR0362,2022-06-01,US & Canada,Lifestyle,Emerging
CR0363,2022-02-25,Other LATAM,Entertainment,Emerging
CR0364,2022-05-05,Brazil,Music,Established
CR0365,2022-04-13,Mexico,Music,Emerging
CR0366,2022-10-21,Other LATAM,Entertainment,Growth
CR0367,2022-06-22,US & Canada,Music,Emerging
CR0368,2022-12-20,US & Canada,Gaming,Growth
CR0369,2024-03-01,US & Canada,Education,Emerging
CR0370,2022-04-03,Brazil,Gaming,Established
CR0371,2023-05-01,US & Canada,Music,Growth
CR0372,2024-02-28,Brazil,Entertainment,Emerging
CR0373,2022-12-28,Other LATAM,Lifestyle,Emerging
CR0374,2022-09-16,US & Canada,Education,Growth
CR0375,2022-01-05,Brazil,Lifestyle,Emerging
CR0376,2023-08-31,Mexico,Entertainment,Established
CR0377,2024-10-12,US & Canada,Education,Growth
CR0378,2023-12-06,Other LATAM,Music,Growth
CR0379,2022-08-14,Mexico,Music,Emerging
CR0380,2023-10-30,US & Canada,Education,Emerging
CR0381,2024-06-05,Mexico,Gaming,Established
CR0382,2023-05-17,Brazil,Entertainment,Established
CR0383,2022-02-12,US & Canada,Entertainment,Emerging
CR0384,2024-08-25,US & Canada,Gaming,Emerging
CR0385,2024-12-25,Brazil,Gaming,Emerging
CR0386,2024-11-06,US & Canada,Gaming,Emerging
CR0387,2024-07-24,Brazil,Education,Emerging
CR0388,2023-01-07,US & Canada,Gaming,Emerging
CR0389,2024-09-23,Mexico,Gaming,Emerging
CR0390,2023-09-24,US & Canada,Lifestyle,Established
CR0391,2023-01-27,US & Canada,Gaming,Emerging
CR0392,2024-10-23,Mexico,Entertainment,Growth
CR0393,2022-12-07,Mexico,Education,Growth
CR0394,2024-03-16,Brazil,Lifestyle,Growth
CR0395,2023-06-25,US & Canada,Education,Emerging
CR0396,2022-10-13,US & Canada,Entertainment,Emerging
CR0397,2024-09-25,Other LATAM,Lifestyle,Growth
CR0398,2022-09-25,US & Canada,Gaming,Emerging
CR0399,2024-09-15,US & Canada,Lifestyle,Emerging
CR0400,2024-06-10,Other LATAM,Gaming,Established
CR0401,2023-05-31,US & Canada,Gaming,Emerging
CR0402,2023-04-14,US & Canada,Education,Growth
CR0403,2024-12-12,US & Canada,Entertainment,Growth
CR0404,2023-11-01,US & Canada,Education,Established
CR0405,2024-08-31,US & Canada,Gaming,Growth
CR0406,2024-03-27,Mexico,Entertainment,Emerging
CR0407,2024-12-17,US & Canada,Lifestyle,Established
CR0408,2022-05-18,US & Canada,Lifestyle,Emerging
CR0409,2022-02-27,US & Canada,Lifestyle,Emerging
CR0410,2024-04-10,Brazil,Education,Established
CR0411,2023-07-16,Brazil,Education,Emerging
CR0412,2024-05-01,Brazil,Entertainment,Established
CR0413,2023-04-21,US & Canada,Gaming,Emerging
CR0414,2022-06-13,US & Canada,Gaming,Emerging
CR0415,2024-08-30,US & Canada,Lifestyle,Emerging
CR0416,2022-07-24,Mexico,Lifestyle,Emerging
CR0417,2023-05-28,US & Canada,Entertainment,Growth
CR0418,2024-03-26,US & Canada,Gaming,Emerging
CR0419,2022-01-23,Other LATAM,Gaming,Emerging
CR0420,2023-03-26,Mexico,Lifestyle,Emerging
CR0421,2023-01-25,Brazil,Lifestyle,Emerging
CR0422,2024-09-07,Brazil,Gaming,Growth
CR0423,2022-01-05,Brazil,Lifestyle,Growth
CR0424,2024-08-26,US & Canada,Music,Emerging
CR0425,2024-11-19,US & Canada,Lifestyle,Growth
CR0426,2024-06-17,Mexico,Music,Emerging
CR0427,2024-09-01,US & Canada,Education,Emerging
CR0428,2022-06-10,US & Canada,Education,Emerging
CR0429,2023-03-07,Mexico,Gaming,Emerging
CR0430,2024-07-17,Mexico,Lifestyle,Emerging
CR0431,2022-02-10,Brazil,Education,Established
CR0432,2022-04-29,Brazil,Gaming,Emerging
CR0433,2022-07-28,US & Canada,Lifestyle,Growth
CR0434,2024-08-21,Mexico,Entertainment,Growth
CR0435,2024-10-17,US & Canada,Lifestyle,Growth
CR0436,2022-10-14,US & Canada,Music,Emerging
CR0437,2022-07-18,US & Canada,Education,Established
CR0438,2022-12-09,US & Canada,Education,Emerging
CR0439,2024-08-03,US & Canada,Lifestyle,Growth
CR0440,2024-10-23,Mexico,Entertainment,Established
CR0441,2023-05-11,US & Canada,Gaming,Emerging
CR0442,2024-06-27,US & Canada,Lifestyle,Established
CR0443,2023-02-23,US & Canada,Gaming,Growth
CR0444,2022-12-04,US & Canada,Gaming,Established
CR0445,2024-11-20,Brazil,Entertainment,Emerging
CR0446,2023-02-18,US & Canada,Gaming,Emerging
CR0447,2024-11-23,Other LATAM,Entertainment,Growth
CR0448,2024-09-28,Brazil,Entertainment,Emerging
CR0449,2024-05-11,Brazil,Lifestyle,Emerging
CR0450,2023-12-05,US & Canada,Lifestyle,Established
CR0451,2024-05-13,US & Canada,Music,Emerging
CR0452,2024-05-29,US & Canada,Gaming,Established
CR0453,2022-05-26,Brazil,Entertainment,Established
CR0454,2022-06-16,Mexico,Gaming,Growth
CR0455,2022-11-25,Brazil,Gaming,Emerging
CR0456,2023-08-15,US & Canada,Entertainment,Emerging
CR0457,2023-01-12,US & Canada,Entertainment,Emerging
CR0458,2024-08-05,US & Canada,Gaming,Emerging
CR0459,2024-10-14,Mexico,Music,Emerging
CR0460,2023-05-07,Brazil,Education,Growth
CR0461,2022-11-28,Brazil,Education,Emerging
CR0462,2024-02-14,US & Canada,Music,Emerging
CR0463,2022-07-10,Mexico,Music,Growth
CR0464,2022-09-04,US & Canada,Gaming,Growth
CR0465,2024-09-04,Other LATAM,Gaming,Growth
CR0466,2023-03-24,Other LATAM,Entertainment,Emerging
CR0467,2023-12-20,Other LATAM,Music,Growth
CR0468,2022-05-15,US & Canada,Music,Emerging
CR0469,2023-06-15,US & Canada,Music,Established
CR0470,2022-11-07,US & Canada,Music,Growth
CR0471,2022-04-05,Mexico,Gaming,Growth
CR0472,2024-10-24,US & Canada,Lifestyle,Emerging
CR0473,2022-02-12,US & Canada,Education,Emerging
CR0474,2024-02-26,Other LATAM,Education,Growth
CR0475,2024-01-01,Mexico,Gaming,Emerging
CR0476,2022-01-09,US & Canada,Entertainment,Emerging
CR0477,2022-06-26,US & Canada,Lifestyle,Growth
CR0478,2023-10-23,Other LATAM,Music,Emerging
CR0479,2022-07-11,US & Canada,Gaming,Emerging
CR0480,2024-08-28,US & Canada,Education,Growth
CR0481,2023-06-13,Other LATAM,Entertainment,Emerging
CR0482,2023-06-12,US & Canada,Entertainment,Growth
CR0483,2024-08-16,US & Canada,Gaming,Emerging
CR0484,2023-03-19,US & Canada,Music,Growth
CR0485,2023-05-19,Other LATAM,Entertainment,Growth
CR0486,2023-05-29,US & Canada,Music,Growth
CR0487,2022-02-12,US & Canada,Entertainment,Emerging
CR0488,2024-12-22,US & Canada,Lifestyle,Emerging
CR0489,2023-06-01,US & Canada,Gaming,Emerging
CR0490,2022-03-22,Brazil,Education,Emerging
CR0491,2022-06-14,Other LATAM,Education,Emerging
CR0492,2024-10-03,US & Canada,Education,Emerging
CR0493,2023-07-23,US & Canada,Education,Emerging
CR0494,2023-03-07,US & Canada,Entertainment,Growth
CR0495,2023-08-20,Brazil,Gaming,Established
CR0496,2023-10-01,US & Canada,Education,Growth
CR0497,2022-07-16,US & Canada,Entertainment,Emerging
CR0498,2022-07-25,US & Canada,Lifestyle,Emerging
CR0499,2022-02-13,US & Canada,Education,Growth
CR0500,2022-11-22,Other LATAM,Gaming,Established
CR0501,2022-02-12,US & Canada,Gaming,Emerging
CR0502,2022-11-18,US & Canada,Entertainment,Emerging
CR0503,2023-08-04,US & Canada,Entertainment,Emerging
CR0504,2024-10-16,Other LATAM,Music,Growth
CR0505,2022-06-24,Brazil,Gaming,Emerging
CR0506,2024-12-12,US & Canada,Gaming,Emerging
CR0507,2023-10-17,US & Canada,Entertainment,Emerging
CR0508,2022-10-20,Mexico,Music,Established
CR0509,2024-11-24,Mexico,Education,Growth
CR0510,2023-01-10,US & Canada,Music,Emerging
CR0511,2024-10-17,US & Canada,Lifestyle,Growth
CR0512,2022-07-02,US & Canada,Lifestyle,Emerging
CR0513,2022-11-19,US & Canada,Entertainment,Emerging
CR0514,2023-12-21,US & Canada,Education,Growth
CR0515,2023-03-05,Brazil,Lifestyle,Growth
